Dato,Event,Aldersgruppe,Region,Nye indlagte,Kumulative nye indlagte,Indlagte per dag
19-03-2020,Hospitalised,60+,Syddanmark,4,20,17
19-03-2020,Hospitalised,0-59,Hovedstaden,11,61,39
19-03-2020,Hospitalised,60+,Hovedstaden,18,95,72
19-03-2020,Hospitalised,0-59,Zealand,0,29,7
19-03-2020,Hospitalised,60+,Zealand,6,40,34
20-03-2020,Hospitalised,60+,Nordjylland,2,21,17
20-03-2020,Hospitalised,0-59,Midtjylland,1,23,7
20-03-2020,Hospitalised,60+,Midtjylland,4,23,19
20-03-2020,Hospitalised,0-59,Syddanmark,6,17,12
20-03-2020,Hospitalised,60+,Syddanmark,3,23,20
20-03-2020,Hospitalised,0-59,Hovedstaden,6,67,40
20-03-2020,Hospitalised,60+,Hovedstaden,27,122,94
20-03-2020,Hospitalised,0-59,Zealand,2,31,8
20-03-2020,Hospitalised,60+,Zealand,12,52,41
20-03-2020,Hospitalised,0-59,Nordjylland,0,3,1
21-03-2020,Hospitalised,60+,Nordjylland,2,23,17
21-03-2020,Hospitalised,0-59,Midtjylland,1,24,7
21-03-2020,Hospitalised,60+,Midtjylland,3,26,21
21-03-2020,Hospitalised,0-59,Syddanmark,2,19,13
21-03-2020,Hospitalised,60+,Syddanmark,2,25,20
21-03-2020,Hospitalised,0-59,Hovedstaden,6,73,46
21-03-2020,Hospitalised,60+,Hovedstaden,10,132,97
21-03-2020,Hospitalised,0-59,Zealand,4,35,11
21-03-2020,Hospitalised,60+,Zealand,6,58,43
21-03-2020,Hospitalised,0-59,Nordjylland,0,3,1
22-03-2020,Hospitalised,0-59,Nordjylland,1,4,2
22-03-2020,Hospitalised,60+,Nordjylland,1,24,17
22-03-2020,Hospitalised,0-59,Midtjylland,3,27,9
22-03-2020,Hospitalised,60+,Midtjylland,4,30,24
22-03-2020,Hospitalised,0-59,Syddanmark,1,20,11
22-03-2020,Hospitalised,60+,Syddanmark,1,26,20
22-03-2020,Hospitalised,0-59,Hovedstaden,6,79,49
22-03-2020,Hospitalised,60+,Hovedstaden,15,147,107
22-03-2020,Hospitalised,0-59,Zealand,0,35,10
22-03-2020,Hospitalised,60+,Zealand,6,64,46
23-03-2020,Hospitalised,60+,Nordjylland,5,29,20
23-03-2020,Hospitalised,0-59,Midtjylland,5,32,13
23-03-2020,Hospitalised,60+,Midtjylland,11,41,34
23-03-2020,Hospitalised,0-59,Syddanmark,4,24,14
23-03-2020,Hospitalised,60+,Syddanmark,6,32,23
23-03-2020,Hospitalised,0-59,Hovedstaden,10,89,55
23-03-2020,Hospitalised,60+,Hovedstaden,31,178,132
23-03-2020,Hospitalised,0-59,Zealand,2,37,9
23-03-2020,Hospitalised,60+,Zealand,9,73,52
23-03-2020,Hospitalised,0-59,Nordjylland,0,4,2
24-03-2020,Hospitalised,0-59,Nordjylland,3,7,5
24-03-2020,Hospitalised,60+,Nordjylland,6,35,25
24-03-2020,Hospitalised,0-59,Midtjylland,4,36,17
24-03-2020,Hospitalised,60+,Midtjylland,10,51,43
24-03-2020,Hospitalised,0-59,Syddanmark,4,28,17
24-03-2020,Hospitalised,60+,Syddanmark,9,41,32
